# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_CODON_INSERTION	variants_effect_DOWNSTREAM	variants_effect_FRAME_SHIFT	variants_effect_FRAME_SHIFT+START_LOST	variants_effect_FRAME_SHIFT+STOP_GAINED	variants_effect_FRAME_SHIFT+STOP_LOST	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_ACCEPTOR+INTRON	variants_effect_SPLICE_SITE_DONOR+INTRON	variants_effect_START_LOST+CODON_INSERTION	variants_effect_STOP_GAINED	variants_effect_STOP_GAINED+CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_STOP_GAINED+CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_STOP_GAINED+CODON_INSERTION	variants_effect_STOP_LOST	variants_effect_STOP_LOST+CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_SYNONYMOUS_CODING	variants_effect_SYNONYMOUS_STOP	variants_effect_UPSTREAM	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
1-CysPxn	PF3D7_0802200	PF3D7_0802200.1		0	0	0	46	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	16	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	5000
14-3-3I	PF3D7_0818200	PF3D7_0818200.1		0	0	0	38	0	0	0	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	22	13	0	5000	0	0	0	3	0	223	0	0	0	0	0	0	0	0	0	22	0	5000
14-3-3II	PF3D7_1362100	PF3D7_1362100.1		0	0	0	37	0	0	0	0	17	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	5000	0	0	0	4	0	138	0	0	0	0	0	0	0	0	0	16	0	5000
AARP	PF3D7_0423400	PF3D7_0423400.1		0	0	3	54	0	0	1	1	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	27	0	5000	3	0	654	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5000
AARP1	PF3D7_1233600	PF3D7_1233600.1		11	4	21	38	0	1	6	5	17	10	0	1	0	0	9	0	0	0	0	0	0	0	0	0	4	0	21	17	0	5000	36	0	16125	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5000
AARP2	PF3D7_0106700	PF3D7_0106700.1		0	0	8	31	1	0	3	2	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	22	0	5000	8	0	4305	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5000
ABCB3	PF3D7_1145500	PF3D7_1145500.1		2	1	6	38	0	0	0	0	13	2	0	0	0	4	6	0	0	0	0	0	0	0	0	0	1	0	21	13	0	5000	9	0	163	4	0	121	0	0	0	0	0	0	0	0	0	21	0	5000
ABCB4	PF3D7_0302600	PF3D7_0302600.1		0	8	6	129	0	0	2	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	122	7	0	5000	14	0	4098	0	0	0	0	0	0	0	0	0	0	0	0	122	0	5000
ABCB5	PF3D7_1339900	PF3D7_1339900.1		0	1	2	44	0	0	1	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	27	17	0	5000	3	0	2778	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5000
ABCB6	PF3D7_1352100	PF3D7_1352100.1		1	0	0	35	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	12	0	5000	1	0	3150	0	0	0	0	0	0	0	0	0	0	0	0	23	0	5000
